Taxa	Sample01	Sample02	Sample03	Sample04
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Unclassified Flavobacteriaceae;	1	2	6	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Unclassified Flavobacteriales;;	0	0	2	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Chitinophaga;Unclassified Chitinophaga	0	1	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Unclassified Chitinophagaceae;	2	1	0	1
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Unclassified Saprospiraceae;	0	1	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Unclassified Mucilaginibacter	1	0	2	2
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Unclassified Pedobacter	0	1	1	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Unclassified Sphingobacteriaceae;	0	0	1	1
Bacteria;Bacteroidetes;Unclassified Bacteroidetes;;;;	3	26	40	0
Bacteria;Candidate division TM7;Unclassified Candidate division TM7;;;;	1	2	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Candidatus Protochlamydia;Unclassified Candidatus Protochlamydia	1	0	0	1
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Unclassified Parachlamydiaceae;	4	0	0	2
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Unclassified Chlamydiales;;	4	0	0	2
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Waddliaceae;Waddlia;Unclassified Waddlia	1	0	0	0
Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum;Unclassified Chlorobaculum	0	0	1	0
Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Unclassified Chlorobiaceae;	0	2	1	0
Bacteria;Chlorobi;Chlorobia;Chlorobiales;OPB56;Chlorobi;Unclassified Chlorobi	0	1	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea;Unclassified Anaerolinea	0	3	1	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Bellilinea;Unclassified Bellilinea	0	3	4	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea;Leptolinea tardivitalis	0	4	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea;Unclassified Leptolinea	0	1	3	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Levilinea;Levilinea saccharolytica	0	1	0	0
