#Datasets	Sample01	Sample02	Sample03	Sample04
"NCBI;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Gemmatales;Gemmataceae;"	5035.0	0.0	0.0	4697.0
"NCBI;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Isosphaerales;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Isosphaerales;Isosphaeraceae;"	3602.0	0.0	0.0	3624.0
"NCBI;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Isosphaerales;Isosphaeraceae;Singulisphaera;"	2009.0	0.0	0.0	1447.0
"NCBI;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;"	183.0	170.0	143.0	127.0
"NCBI;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;"	1134.0	391.0	1072.0	837.0
"NCBI;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;unclassified Planctomycetaceae;"	1682.0	1026.0	0.0	1311.0
"NCBI;cellular organisms;Bacteria;PVC group;Planctomycetes;unclassified Planctomycetes;"	4812.0	7402.0	5732.0	2928.0
"NCBI;cellular organisms;Bacteria;PVC group;Verrucomicrobia;"	9484.0	15576.0	10661.0	7640.0
"NCBI;cellular organisms;Bacteria;PVC group;Verrucomicrobia;Opitutae;"	1154.0	714.0	1415.0	0.0
"NCBI;cellular organisms;Bacteria;PVC group;Verrucomicrobia;Opitutae;Opitutales;"	0.0	8.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;PVC group;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;"	0.0	1205.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;PVC group;Verrucomicrobia;Spartobacteria;"	24.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;PVC group;Verrucomicrobia;Spartobacteria;Chthoniobacterales;"	159.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;PVC group;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;PVC group;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;"	1595.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;PVC group;Verrucomicrobia;unclassified Verrucomicrobia;"	11651.0	20039.0	13472.0	3688.0
"NCBI;cellular organisms;Bacteria;PVC group;Verrucomicrobia;Verrucomicrobiae;"	33.0	48.0	53.0	0.0
"NCBI;cellular organisms;Bacteria;PVC group;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;"	1216.0	620.0	1344.0	0.0
"NCBI;cellular organisms;Bacteria;PVC group;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia subdivision 3;"	0.0	1345.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Spirochaetes;"	0.0	2249.0	1169.0	0.0
"NCBI;cellular organisms;Bacteria;Spirochaetes;unclassified Spirochaetes;"	0.0	2266.0	1200.0	0.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;"	25797.0	33317.0	40814.0	20646.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;"	39980.0	18248.0	23844.0	30651.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Acidimicrobiia;"	0.0	0.0	0.0	59.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Acidimicrobiia;Acidimicrobiales;"	0.0	0.0	0.0	1038.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Actinobacteria;"	63886.0	13018.0	18288.0	112684.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Actinobacteria;Corynebacteriales;"	1499.0	0.0	1293.0	1374.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Actinobacteria;Corynebacteriales;Mycobacteriaceae;"	2046.0	0.0	0.0	4661.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;"	1993.0	0.0	0.0	4655.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Actinobacteria;Corynebacteriales;Nocardiaceae;"	0.0	0.0	0.0	1388.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Actinobacteria;Frankiales;"	48.0	0.0	0.0	75.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Actinobacteria;Frankiales;Frankiaceae;"	173.0	0.0	0.0	235.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Actinobacteria;Frankiales;Frankiaceae;Frankia;"	1056.0	0.0	0.0	1766.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Actinobacteria;Micrococcales;"	2242.0	2979.0	3879.0	2285.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Actinobacteria;Micrococcales;Cellulomonadaceae;"	0.0	0.0	430.0	0.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;"	0.0	0.0	1084.0	0.0
"NCBI;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria <actinobacteria>;Actinobacteria;Micrococcales;Intrasporangiaceae;"	0.0	0.0	1134.0	0.0
