Taxa	Sample01	Sample02	Sample03	Sample04
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea	0	3	1	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Bellilinea	0	3	4	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea	0	5	3	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Levilinea	0	2	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Longilinea	0	1	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Unclassified Anaerolineaceae	1	42	43	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Unclassified Anaerolineales;	0	1	0	0
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea	0	0	1	0
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Unclassified Caldilineaceae	0	1	0	0
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Chloroflexaceae;Chloronema	0	1	0	0
Bacteria;Chloroflexi;Class Incertae Sedis;Order Incertae Sedis;Family Incertae Sedis;Thermobaculum	0	1	0	0
Bacteria;Chloroflexi;Dehalococcoidetes;Order Incertae Sedis;Family Incertae Sedis;Dehalococcoides	0	1	2	0
Bacteria;Chloroflexi;Dehalococcoidetes;Order Incertae Sedis;Family Incertae Sedis;Dehalogenimonas	0	0	1	0
Bacteria;Chloroflexi;Dehalococcoidetes;Order Incertae Sedis;Family Incertae Sedis;Unclassified Family Incertae Sedis	0	2	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter	14	0	0	9
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Unclassified Ktedonobacteraceae	2	0	0	1
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Thermosporotrichaceae;Thermosporothrix	2	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Unclassified Ktedonobacterales;	9	0	0	3
Bacteria;Chloroflexi;Ktedonobacteria;Unclassified Ktedonobacteria;;	3	0	0	1
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter	0	1	0	0
Bacteria;Chloroflexi;Thermomicrobia;Unclassified Thermomicrobia;;	0	1	1	0
Bacteria;Chloroflexi;Unclassified Chloroflexi;;;	2	11	22	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Chroococcus	1	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Unclassified FamilyI	0	1	1	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Phormidium	0	0	1	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Planktothrix	0	1	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Unclassified FamilyI	0	0	2	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;FamilyI;Unclassified FamilyI	1	0	0	0
Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Unclassified Thermales;	0	1	0	0
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Unclassified Elusimicrobiaceae	0	0	1	0
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;termite gut group;haloalkaliphilic bacterium ACht6-1	0	3	1	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus	0	0	2	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Aquisalibacillus	1	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0	2	2	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Caldalkalibacillus	1	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Unclassified Bacillaceae	1	2	4	2
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria	1	0	1	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Unclassified Paenibacillaceae	0	0	1	1
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Unclassified Planococcaceae	0	1	0	1
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Unclassified Sporolactobacillaceae	0	1	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Unclassified Staphylococcaceae	0	1	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Laceyella	0	1	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Mechercharimyces	0	1	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Unclassified Bacillales;	0	0	3	3
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	1	1	0	0
Bacteria;Firmicutes;Bacilli;Unclassified Bacilli;;	1	1	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloramator	0	1	4	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	1	14	12	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Unclassified Clostridiaceae	1	2	3	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium	0	2	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI Incertae Sedis;Anaerococcus	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XII Incertae Sedis;Fusibacter	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae Sedis	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Unclassified Lachnospiraceae	0	2	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus	0	1	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum	1	2	3	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Unclassified Peptococcaceae	1	0	1	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae Sedis	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Saccharofermentans	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Unclassified Ruminococcaceae	0	3	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Syntrophothermus	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Unclassified Syntrophomonadaceae	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;thermophilic bacterium JA2	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Unclassified Clostridiales;	0	3	4	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Pelosinus	0	0	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Succinispira	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Unclassified Veillonellaceae	0	2	3	1
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halanaerobiaceae;Halothermothrix	0	0	1	0
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halanaerobiaceae;Unclassified Halanaerobiaceae	1	2	0	0
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Unclassified Halanaerobiales;	0	0	1	0
Bacteria;Firmicutes;Clostridia;Natranaerobiales;Natranaerobiaceae;Natranaerobius	0	0	1	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Moorella	0	1	0	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Unclassified Thermoanaerobacteraceae	0	2	1	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Unclassified Thermoanaerobacterales;	0	1	0	0
Bacteria;Firmicutes;Clostridia;Thermolithobacterales;Thermolithobacteraceae;Thermolithobacter	0	1	0	0
Bacteria;Firmicutes;Clostridia;Unclassified Clostridia;;	3	6	2	1
